id,title,vote_average,vote_count,release_date,popularity,,,,,,,,,,
278,The Shawshank Redemption,8.711,29158,23-09-1994,25.3318,,,,,id,title,vote_average,vote_count,release_date,popularity
238,The Godfather,8.685,22026,14-03-1972,26.3705,,,,,278,The Shawshank Redemption,8.711,29158,34600,25.3318
240,The Godfather Part II,8.571,13315,20-12-1974,13.4802,,,,,,,,,,
424,Schindler's List,8.566,16836,15-12-1993,10.6071,,,,,,,,,,
389,12 Angry Men,8.548,9503,10-04-1957,9.0143,,,,,,,,,,
129,Spirited Away,8.534,17608,20-07-2001,15.8954,,,,,,,,,,
155,The Dark Knight,8.524,34658,16-07-2008,33.2459,,,,,,,,,,
19404,Dilwale Dulhania Le Jayenge,8.5,4518,20-10-1995,6.8739,,,,,,,,,,
497,The Green Mile,8.502,18519,10-12-1999,14.272,,,,,,,,,,
496243,Parasite,8.496,19671,30-05-2019,20.2127,,,,,,,,,,
122,The Lord of the Rings: The Return of the King,8.49,25626,17-12-2003,19.3789,,,,,,,,,,
680,Pulp Fiction,8.487,29242,10-09-1994,16.7978,,,,,,,,,,
372058,Your Name.,8.479,12078,26-08-2016,18.1659,,,,,,,,,,
13,Forrest Gump,8.463,28810,23-06-1994,32.6138,,,,,,,,,,
157336,Interstellar,8.462,38181,05-11-2014,35.86,,,,,,,,,,
429,"The Good, the Bad and the Ugly",8.461,9233,22-12-1966,10.8919,,,,,,,,,,
769,GoodFellas,8.5,13752,12-09-1990,11.8458,,,,,,,,,,
346,Seven Samurai,8.451,4017,26-04-1954,7.4517,,,,,,,,,,
12477,Grave of the Fireflies,8.447,6179,16-04-1988,0.0113,,,,,,,,,,
637,Life Is Beautiful,8.44,13613,20-12-1997,8.0713,,,,,,,,,,
550,Fight Club,8.438,30952,15-10-1999,16.2348,,,,,,,,,,
667257,Impossible Things,8.435,415,17-06-2021,3.1575,,,,,,,,,,
14537,Harakiri,8.433,1125,15-09-1962,4.6277,,,,,,,,,,
11216,Cinema Paradiso,8.4,4644,17-11-1988,3.7079,,,,,,,,,,
598,City of God,8.4,7856,30-08-2002,8.7878,,,,,,,,,,
120,The Lord of the Rings: The Fellowship of the Ring,8.426,26557,18-12-2001,41.7819,,,,,,,,,,
539,Psycho,8.422,10599,22-06-1960,11.8264,,,,,,,,,,
40096,A Dog's Will,8.421,1190,15-09-2000,1.1714,,,,,,,,,,
510,One Flew Over the Cuckoo's Nest,8.413,11018,19-11-1975,9.5694,,,,,,,,,,
121,The Lord of the Rings: The Two Towers,8.411,23066,18-12-2002,17.4756,,,,,,,,,,
696374,Gabriel's Inferno,8.4,2436,29-05-2020,2.6009,,,,,,,,,,
311,Once Upon a Time in America,8.399,5779,23-05-1984,7.7326,,,,,,,,,,
255709,Hope,8.399,806,02-10-2013,4.5176,,,,,,,,,,
324857,Spider-Man: Into the Spider-Verse,8.395,16577,06-12-2018,14.5378,,,,,,,,,,
4935,Howl's Moving Castle,8.394,10599,09-09-2004,12.2406,,,,,,,,,,
1891,The Empire Strikes Back,8.394,17800,20-05-1980,5.2899,,,,,,,,,,
378064,A Silent Voice: The Movie,8.386,4259,17-09-2016,9.3485,,,,,,,,,,
423,The Pianist,8.38,9751,17-09-2002,7.4234,,,,,,,,,,
807,Se7en,8.377,22257,22-09-1995,13.3847,,,,,,,,,,
244786,Whiplash,8.374,16025,10-10-2014,11.3422,,,,,,,,,,
27205,Inception,8.37,38171,15-07-2010,20.9107,,,,,,,,,,
724089,Gabriel's Inferno: Part II,8.368,1533,31-07-2020,0.9451,,,,,,,,,,
770156,Lucy Shimmers and the Prince of Peace,8.4,326,19-10-2020,5.2242,,,,,,,,,,
1058694,Radical,8.361,481,19-10-2023,3.5655,,,,,,,,,,
761053,Gabriel's Inferno: Part III,8.359,1069,19-11-2020,3.7644,,,,,,,,,,
12493,High and Low,8.4,1046,01-03-1963,6.2949,,,,,,,,,,
567,Rear Window,8.349,6877,01-08-1954,4.5709,,,,,,,,,,
274,The Silence of the Lambs,8.346,17244,14-02-1991,3.1673,,,,,,,,,,
569094,Spider-Man: Across the Spider-Verse,8.336,8008,31-05-2023,16.5727,,,,,,,,,,
